show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,bag_of_content,processed_content,cluster
s1,TV Show,3%,,"João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi",Brazil,"August 14, 2020",2020,TV-MA,4 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",2020.0,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor. International TV Shows, TV Dramas, TV Sci-Fi & Fantasy  João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi Brazil TV-MA",future elite inhabit island paradise far crowded slum get one chance join saved squalor international show drama scifi fantasy joo miguel bianca comparato michel gomes rodolfo valente vaneza oliveira rafael lozano viviane porto mel fronckowiak sergio mamberti zez motta celso frateschi brazil tvma,0
s2,Movie,7:19,Jorge Michel Grau,"Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato",Mexico,"December 23, 2016",2016,TV-MA,93 min,"Dramas, International Movies","After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.",2016.0,"After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive. Dramas, International Movies Jorge Michel Grau Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato Mexico TV-MA",devastating earthquake hit mexico city trapped survivor walk life wait rescued trying desperately stay alive drama international movie jorge michel grau demin bichir hctor bonilla oscar serrano azalia ortiz octavio michel carmen beato mexico tvma,1
s3,Movie,23:59,Gilbert Chan,"Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim",Singapore,"December 20, 2018",2011,R,78 min,"Horror Movies, International Movies","When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.",2018.0,"When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp. Horror Movies, International Movies Gilbert Chan Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim Singapore R",army recruit found dead fellow soldier forced confront terrifying secret thats haunting jungle island training camp horror movie international movie gilbert chan tedd chan stella chung henley hii lawrence koh tommy kuan josh lai mark lee susan leong benjamin lim singapore,1
s4,Movie,9,Shane Acker,"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane",United States,"November 16, 2017",2009,PG-13,80 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.",2017.0,"In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group. Action & Adventure, Independent Movies, Sci-Fi & Fantasy Shane Acker Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane United States PG-13",postapocalyptic world ragdoll robot hide fear dangerous machine exterminate brave newcomer join group action adventure independent movie scifi fantasy shane acker elijah wood john reilly jennifer connelly christopher plummer crispin glover martin landau fred tatasciore alan oppenheimer tom kane united state,1
s5,Movie,21,Robert Luketic,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin",United States,"January 1, 2020",2008,PG-13,123 min,Dramas,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.,2020.0,"A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack. Dramas Robert Luketic Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin United States PG-13",brilliant group student become cardcounting expert intent swindling million la vega casino playing blackjack drama robert luketic jim sturgess kevin spacey kate bosworth aaron yoo liza lapira jacob pitt laurence fishburne jack mcgee josh gad sam golzari helen carey jack gilpin united state,1
s6,TV Show,46,Serdar Akar,"Erdal Beşikçioğlu, Yasemin Allen, Melis Birkan, Saygın Soysal, Berkan Şal, Metin Belgin, Ayça Eren, Selin Uludoğan, Özay Fecht, Suna Yıldızoğlu",Turkey,"July 1, 2017",2016,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.",2017.0,"A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect. International TV Shows, TV Dramas, TV Mysteries Serdar Akar Erdal Beşikçioğlu, Yasemin Allen, Melis Birkan, Saygın Soysal, Berkan Şal, Metin Belgin, Ayça Eren, Selin Uludoğan, Özay Fecht, Suna Yıldızoğlu Turkey TV-MA",genetics professor experiment treatment comatose sister blend medical shamanic cure unlocks shocking side effect international show drama mystery serdar akar erdal beikiolu yasemin allen melis birkan saygn soysal berkan metin belgin aya eren selin uludoan zay fecht suna yldzolu turkey tvma,0
s7,Movie,122,Yasir Al Yasiri,"Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad",Egypt,"June 1, 2020",2019,TV-MA,95 min,"Horror Movies, International Movies","After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.",2020.0,"After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them. Horror Movies, International Movies Yasir Al Yasiri Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad Egypt TV-MA",awful accident couple admitted grisly hospital separated must find escape death find horror movie international movie yasir yasiri amina khalil ahmed dawood tarek lotfy ahmed fishawy mahmoud hijazi jihane khalil asmaa galal tara emad egypt tvma,1
s8,Movie,187,Kevin Reynolds,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana",United States,"November 1, 2019",1997,R,119 min,Dramas,"After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.",2019.0,"After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment. Dramas Kevin Reynolds Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana United States R",one high school student attack dedicated teacher trevor garfield grows weary gang warfare new york city school system move california teach thinking must less hostile environment drama kevin reynolds samuel jackson john heard kelly rowan clifton collins tony plana united state,1
s9,Movie,706,Shravan Kumar,"Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak",India,"April 1, 2019",2019,TV-14,118 min,"Horror Movies, International Movies","When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.",2019.0,"When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on. Horror Movies, International Movies Shravan Kumar Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak India TV-14",doctor go missing psychiatrist wife treat bizarre medical condition psychic patient know much he leading horror movie international movie shravan kumar divya dutta atul kulkarni mohan agashe anupam shyam raayo bakhirta yashvit sancheti greeva kansara archan trivedi rajiv pathak india,1
s10,Movie,1920,Vikram Bhatt,"Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas",India,"December 15, 2017",2008,TV-MA,143 min,"Horror Movies, International Movies, Thrillers",An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.,2017.0,"An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation. Horror Movies, International Movies, Thrillers Vikram Bhatt Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas India TV-MA",architect wife move castle slated become luxury hotel something inside determined stop renovation horror movie international movie thriller vikram bhatt rajneesh duggal adah sharma indraneil sengupta anjori alagh rajendranath zutshi vipin sharma amin hajee shri vallabh vyas india tvma,1
